tanggal,suhu_rata,kelembapan,curah_hujan,lama_penyinaran,angin,stasiun
02-01-2010,28.1,76.0,0.0,6.0,3.0,96737
06-01-2010,26.5,83.0,1.0,0.0,2.0,96737
07-01-2010,27.8,80.0,1.0,5.5,2.0,96737
08-01-2010,26.4,85.0,0.0,0.0,1.0,96737
09-01-2010,25.2,91.0,4.0,0.8,1.0,96737
10-01-2010,26.2,87.0,52.0,1.0,0.0,96737
11-01-2010,27.2,82.0,1.0,4.5,2.0,96737
12-01-2010,25.8,90.0,14.0,1.5,2.0,96737
13-01-2010,26.2,84.0,6.0,0.0,2.0,96737
14-01-2010,26.4,81.0,11.0,6.2,3.0,96737
15-01-2010,25.8,83.0,29.0,1.0,2.0,96737
16-01-2010,26.5,83.0,6.0,1.0,2.0,96737
17-01-2010,26.2,90.0,9.0,1.5,2.0,96737
18-01-2010,27.6,79.0,19.0,8.0,2.0,96737
19-01-2010,26.0,87.0,16.0,1.8,1.0,96737
20-01-2010,24.9,93.0,2.0,0.3,1.0,96737
21-01-2010,27.8,79.0,44.0,4.5,2.0,96737
22-01-2010,26.1,91.0,1.0,1.0,0.0,96737
23-01-2010,27.9,80.0,1.0,8.0,2.0,96737
25-01-2010,26.7,90.0,15.0,3.9,1.0,96737
26-01-2010,26.0,90.0,41.0,3.9,1.0,96737
27-01-2010,26.1,90.0,28.0,5.5,1.0,96737
29-01-2010,28.3,80.0,1.0,8.0,2.0,96737
30-01-2010,27.6,86.0,2.0,6.5,2.0,96737
31-01-2010,26.6,88.0,18.0,5.8,1.0,96737
01-02-2010,26.9,83.0,4.0,2.0,0.0,96737
02-02-2010,26.7,84.0,0.0,3.1,1.0,96737
04-02-2010,27.4,85.0,1.0,4.8,0.0,96737
05-02-2010,27.5,84.0,2.0,5.0,0.0,96737
06-02-2010,27.1,84.0,0.0,4.5,1.0,96737
08-02-2010,27.4,83.0,0.0,6.5,1.0,96737
09-02-2010,27.6,86.0,8.0,8.0,1.0,96737
10-02-2010,28.0,80.0,0.0,8.0,1.0,96737
13-02-2010,25.7,90.0,0.0,0.0,0.0,96737
14-02-2010,26.2,89.0,8.0,2.3,1.0,96737
15-02-2010,26.4,85.0,38.0,5.6,0.0,96737
16-02-2010,27.8,88.0,0.0,5.0,1.0,96737
17-02-2010,27.7,84.0,0.0,5.4,1.0,96737
18-02-2010,26.1,90.0,23.0,1.4,1.0,96737
19-02-2010,27.0,88.0,50.0,2.5,1.0,96737
21-02-2010,27.6,82.0,0.0,8.0,2.0,96737
23-02-2010,27.6,80.0,42.0,5.0,2.0,96737
25-02-2010,26.6,90.0,17.0,2.4,1.0,96737
26-02-2010,27.9,91.0,0.0,8.0,1.0,96737
27-02-2010,28.0,83.0,2.0,7.6,1.0,96737
01-03-2010,28.0,82.0,3.0,6.8,2.0,96737
02-03-2010,27.1,85.0,0.0,7.3,1.0,96737
05-03-2010,26.6,90.0,16.0,0.0,0.0,96737
06-03-2010,27.9,84.0,0.0,6.0,1.0,96737
07-03-2010,27.9,84.0,0.0,8.0,1.0,96737
08-03-2010,26.1,93.0,0.0,4.5,1.0,96737
