tanggal,prediksi,prob_hujan,prob_tidak_hujan,rekomendasi
26-05-2026,HUJAN,78.38,21.62,Tunda Tanam
02-06-2026,TIDAK HUJAN,36.7,63.3,Waktu Tanam Baik
02-06-2026 19:57:06,TIDAK HUJAN,36.7,63.3,Waktu Tanam Baik
03-06-2026 16:14:16,HUJAN,75.94,24.06,Tunda Tanam
03-06-2026 16:28:25,HUJAN,75.94,24.06,Tunda Tanam
03-06-2026 16:33:04,HUJAN,75.94,24.06,Tunda Tanam
03-06-2026 16:37:52,HUJAN,75.94,24.06,Tunda Tanam
03-06-2026 16:39:18,HUJAN,75.94,24.06,Tunda Tanam
05-06-2026 20:30:50,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 20:32:56,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 20:46:06,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 20:49:26,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 21:52:53,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 21:57:54,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 21:58:59,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:01:06,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:15:46,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:16:51,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:17:56,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:19:01,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:20:08,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:21:13,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:22:17,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:22:35,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:25:35,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:26:39,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:27:44,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:28:48,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:29:53,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:30:58,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:32:02,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:33:06,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:34:10,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:35:15,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:36:21,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:37:26,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:37:45,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:38:30,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:39:34,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:40:39,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:41:43,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:42:47,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:43:51,HUJAN,68.47,31.53,Tunda Tanam
05-06-2026 22:45:02,HUJAN,68.47,31.53,Tunda Tanam
06-06-2026 00:06:05,HUJAN,66.4,33.6,Tunda Tanam
06-06-2026 00:07:16,HUJAN,66.4,33.6,Tunda Tanam
06-06-2026 00:09:37,HUJAN,66.4,33.6,Tunda Tanam
06-06-2026 05:03:16,HUJAN,64.48,35.52,Tunda Tanam
06-06-2026 05:14:07,BERPOTENSI HUJAN,64.48,35.52,Pertimbangkan Menunda
06-06-2026 05:19:33,BERPOTENSI HUJAN,64.48,35.52,Pertimbangkan Menunda
06-06-2026 05:23:58,BERPOTENSI HUJAN,64.48,35.52,Pertimbangkan Menunda
