waktu,status_cuaca,prob_hujan,prob_tidak_hujan,rekomendasi
09-08-2026 23:40:42,TIDAK HUJAN,14.54,85.46,Waktu Tanam Baik
09-08-2026 23:56:20,TIDAK HUJAN,14.54,85.46,Waktu Tanam Baik
09-08-2026 23:57:20,TIDAK HUJAN,14.54,85.46,Waktu Tanam Baik
09-08-2026 23:58:20,TIDAK HUJAN,14.54,85.46,Waktu Tanam Baik
09-08-2026 23:59:20,TIDAK HUJAN,14.54,85.46,Waktu Tanam Baik
10-08-2026 00:00:20,TIDAK HUJAN,14.54,85.46,Waktu Tanam Baik
10-08-2026 00:01:20,TIDAK HUJAN,14.54,85.46,Waktu Tanam Baik
10-08-2026 00:04:51,TIDAK HUJAN,24.36,75.64,Waktu Tanam Baik
10-08-2026 00:05:51,TIDAK HUJAN,24.36,75.64,Waktu Tanam Baik
10-08-2026 00:06:51,TIDAK HUJAN,24.36,75.64,Waktu Tanam Baik
10-08-2026 00:07:51,TIDAK HUJAN,24.36,75.64,Waktu Tanam Baik
10-08-2026 00:08:51,TIDAK HUJAN,24.36,75.64,Waktu Tanam Baik
10-08-2026 00:09:51,TIDAK HUJAN,24.36,75.64,Waktu Tanam Baik
10-08-2026 00:10:51,TIDAK HUJAN,24.36,75.64,Waktu Tanam Baik
